X,CH1,
Second,Volt,
-1.1435078e+00,-8.00000e-02,
-1.1433614e+00,0.00000e+00,
-1.1432149e+00,-8.00000e-02,
-1.1430684e+00,0.00000e+00,
-1.1429219e+00,-1.60000e-01,
-1.1427754e+00,-1.60000e-01,
-1.1426290e+00,0.00000e+00,
-1.1424825e+00,-1.60000e-01,
-1.1423360e+00,-3.20000e-01,
-1.1421895e+00,8.00000e-02,
-1.1420430e+00,-8.00000e-02,
-1.1418966e+00,0.00000e+00,
-1.1417501e+00,-1.60000e-01,
-1.1416036e+00,1.60000e-01,
-1.1414571e+00,-8.00000e-02,
-1.1413106e+00,0.00000e+00,
-1.1411642e+00,0.00000e+00,
-1.1410177e+00,0.00000e+00,
-1.1408712e+00,0.00000e+00,
-1.1407247e+00,-8.00000e-02,
-1.1405782e+00,-1.60000e-01,
-1.1404318e+00,-1.60000e-01,
-1.1402853e+00,0.00000e+00,
-1.1401387e+00,-1.60000e-01,
-1.1399922e+00,-1.60000e-01,
-1.1398457e+00,8.00000e-02,
-1.1396993e+00,-1.60000e-01,
-1.1395528e+00,8.00000e-02,
-1.1394063e+00,-8.00000e-02,
-1.1392598e+00,-8.00000e-02,
-1.1391133e+00,-2.40000e-01,
-1.1389669e+00,-8.00000e-02,
-1.1388204e+00,-1.60000e-01,
-1.1386739e+00,1.60000e-01,
-1.1385274e+00,0.00000e+00,
-1.1383809e+00,-1.60000e-01,
-1.1382345e+00,8.00000e-02,
-1.1380880e+00,-8.00000e-02,
-1.1379415e+00,0.00000e+00,
-1.1377950e+00,-2.40000e-01,
-1.1376485e+00,0.00000e+00,
-1.1375021e+00,0.00000e+00,
-1.1373556e+00,-8.00000e-02,
-1.1372091e+00,0.00000e+00,
-1.1370625e+00,8.00000e-02,
-1.1369160e+00,0.00000e+00,
-1.1367697e+00,-2.40000e-01,
-1.1366231e+00,-8.00000e-02,
-1.1364766e+00,0.00000e+00,
-1.1363301e+00,0.00000e+00,
-1.1361836e+00,-2.40000e-01,
-1.1360372e+00,8.00000e-02,
-1.1358907e+00,-1.60000e-01,
-1.1357442e+00,0.00000e+00,
-1.1355977e+00,0.00000e+00,
-1.1354512e+00,-8.00000e-02,
-1.1353048e+00,0.00000e+00,
-1.1351583e+00,8.00000e-02,
-1.1350118e+00,-8.00000e-02,
-1.1348653e+00,8.00000e-02,
-1.1347188e+00,0.00000e+00,
-1.1345724e+00,-1.60000e-01,
-1.1344259e+00,-1.60000e-01,
