X,CH1,
Second,Volt,
-2.8291211e-01,-1.80000e-01,
-2.8287551e-01,-8.00000e-02,
-2.8283888e-01,-6.00000e-02,
-2.8280225e-01,-2.20000e-01,
-2.8276563e-01,-2.20000e-01,
-2.8272900e-01,-1.00000e-01,
-2.8269240e-01,-8.00000e-02,
-2.8265578e-01,-2.00000e-01,
-2.8261915e-01,-1.60000e-01,
-2.8258252e-01,-1.00000e-01,
-2.8254589e-01,-3.20000e-01,
-2.8250930e-01,-1.00000e-01,
-2.8247267e-01,2.00000e-02,
-2.8243604e-01,-2.40000e-01,
-2.8239942e-01,-2.20000e-01,
-2.8236279e-01,-1.80000e-01,
-2.8232619e-01,-8.00000e-02,
-2.8228956e-01,-2.20000e-01,
-2.8225294e-01,-1.20000e-01,
-2.8221631e-01,-8.00000e-02,
-2.8217968e-01,-2.00000e-01,
-2.8214309e-01,-4.20000e-01,
-2.8210646e-01,-3.60000e-01,
-2.8206983e-01,-2.80000e-01,
-2.8203321e-01,-1.80000e-01,
-2.8199658e-01,-8.00000e-02,
-2.8195998e-01,-6.00000e-02,
-2.8192335e-01,-3.00000e-01,
-2.8188673e-01,-3.00000e-01,
-2.8185010e-01,-2.00000e-01,
-2.8181347e-01,-1.00000e-01,
-2.8177688e-01,-8.00000e-02,
-2.8174025e-01,-1.20000e-01,
-2.8170362e-01,-3.00000e-01,
-2.8166699e-01,-1.00000e-01,
-2.8163037e-01,-2.00000e-01,
-2.8159377e-01,-1.20000e-01,
-2.8155714e-01,-2.60000e-01,
-2.8152052e-01,-2.20000e-01,
-2.8148389e-01,-2.20000e-01,
-2.8144726e-01,-1.60000e-01,
-2.8141066e-01,-2.20000e-01,
-2.8137404e-01,-3.20000e-01,
-2.8133741e-01,-2.00000e-01,
-2.8130078e-01,-1.60000e-01,
-2.8126416e-01,-1.40000e-01,
-2.8122756e-01,-2.20000e-01,
-2.8119093e-01,-1.40000e-01,
-2.8115430e-01,-1.00000e-01,
-2.8111768e-01,-2.00000e-01,
-2.8108105e-01,-2.00000e-01,
-2.8104445e-01,-1.00000e-01,
-2.8100783e-01,-1.80000e-01,
-2.8097120e-01,-2.20000e-01,
-2.8093457e-01,-2.80000e-01,
-2.8089795e-01,-8.00000e-02,
-2.8086135e-01,-2.20000e-01,
-2.8082472e-01,-2.00000e-01,
-2.8078809e-01,-1.40000e-01,
-2.8075147e-01,-2.40000e-01,
-2.8071484e-01,-2.60000e-01,
-2.8067824e-01,0.00000e+00,
-2.8064162e-01,-1.40000e-01,
-2.8060499e-01,-1.80000e-01,
-2.8056836e-01,-1.00000e-01,
-2.8053173e-01,-2.40000e-01,
-2.8049514e-01,-1.00000e-01,
-2.8045851e-01,-1.00000e-01,
-2.8042188e-01,-1.80000e-01,
-2.8038526e-01,-1.40000e-01,
-2.8034863e-01,-2.60000e-01,
-2.8031203e-01,-2.40000e-01,
-2.8027540e-01,-1.40000e-01,
-2.8023878e-01,-1.40000e-01,
-2.8020215e-01,-2.00000e-01,
-2.8016552e-01,-2.20000e-01,
-2.8012893e-01,-8.00000e-02,
-2.8009230e-01,-3.00000e-01,
-2.8005567e-01,-1.00000e-01,
-2.8001904e-01,-3.00000e-01,
-2.7998242e-01,-8.00000e-02,
-2.7994582e-01,-1.40000e-01,
-2.7990919e-01,-1.80000e-01,
-2.7987257e-01,-2.00000e-01,
-2.7983594e-01,-3.20000e-01,
-2.7979931e-01,-3.00000e-01,
-2.7976272e-01,-3.00000e-01,
-2.7972609e-01,-2.00000e-01,
-2.7968946e-01,-4.00000e-02,
-2.7965283e-01,-2.60000e-01,
-2.7961621e-01,-2.20000e-01,
-2.7957961e-01,-2.00000e-01,
-2.7954298e-01,-1.40000e-01,
-2.7950636e-01,-2.20000e-01,
-2.7946973e-01,-1.20000e-01,
-2.7943310e-01,-1.00000e-01,
-2.7939650e-01,-3.00000e-01,
-2.7935988e-01,-1.00000e-01,
-2.7932325e-01,-2.20000e-01,
-2.7928662e-01,-2.20000e-01,
-2.7925000e-01,-1.00000e-01,
-2.7921340e-01,-8.00000e-02,
-2.7917677e-01,-1.40000e-01,
-2.7914014e-01,-1.20000e-01,
-2.7910352e-01,-1.40000e-01,
-2.7906689e-01,-3.80000e-01,
-2.7903029e-01,-1.80000e-01,
-2.7899367e-01,-1.00000e-01,
-2.7895704e-01,-1.00000e-01,
-2.7892041e-01,-2.20000e-01,
-2.7888379e-01,-1.00000e-01,
-2.7884719e-01,-1.60000e-01,
-2.7881056e-01,-3.00000e-01,
-2.7877393e-01,-2.60000e-01,
-2.7873731e-01,-8.00000e-02,
-2.7870068e-01,-1.40000e-01,
-2.7866408e-01,-2.20000e-01,
-2.7862746e-01,-3.60000e-01,
-2.7859083e-01,-3.00000e-01,
-2.7855420e-01,-3.80000e-01,
-2.7851757e-01,0.00000e+00,
-2.7848098e-01,-2.20000e-01,
-2.7844435e-01,-2.60000e-01,
-2.7840772e-01,-4.00000e-02,
-2.7837110e-01,-3.20000e-01,
-2.7833447e-01,-1.00000e-01,
-2.7829787e-01,-3.40000e-01,
-2.7826124e-01,-1.00000e-01,
-2.7822462e-01,-2.60000e-01,
-2.7818799e-01,-1.80000e-01,
-2.7815136e-01,0.00000e+00,
-2.7811477e-01,-1.00000e-01,
-2.7807814e-01,-2.20000e-01,
-2.7804151e-01,-3.40000e-01,
-2.7800488e-01,-1.40000e-01,
-2.7796826e-01,-1.80000e-01,
-2.7793166e-01,-4.00000e-02,
-2.7789503e-01,-6.00000e-02,
-2.7785841e-01,-1.00000e-01,
-2.7782178e-01,-1.20000e-01,
-2.7778515e-01,-2.80000e-01,
-2.7774855e-01,-1.00000e-01,
-2.7771193e-01,-1.60000e-01,
-2.7767530e-01,-2.60000e-01,
-2.7763867e-01,-1.20000e-01,
-2.7760205e-01,-1.00000e-01,
-2.7756545e-01,-2.00000e-01,
-2.7752882e-01,-2.40000e-01,
-2.7749220e-01,-1.20000e-01,
-2.7745557e-01,-1.40000e-01,
-2.7741894e-01,-2.60000e-01,
-2.7738234e-01,-1.60000e-01,
-2.7734572e-01,-1.00000e-01,
-2.7730909e-01,-2.20000e-01,
-2.7727246e-01,-3.80000e-01,
-2.7723584e-01,-2.60000e-01,
-2.7719924e-01,-2.00000e-01,
-2.7716261e-01,-2.00000e-01,
-2.7712598e-01,-1.00000e-01,
-2.7708936e-01,-2.60000e-01,
-2.7705273e-01,-1.80000e-01,
-2.7701613e-01,-1.00000e-01,
-2.7697951e-01,-1.00000e-01,
-2.7694288e-01,-3.40000e-01,
-2.7690625e-01,-1.80000e-01,
-2.7686962e-01,-2.60000e-01,
-2.7683303e-01,-3.00000e-01,
-2.7679640e-01,-2.20000e-01,
-2.7675977e-01,-2.20000e-01,
-2.7672315e-01,-2.40000e-01,
-2.7668652e-01,-2.60000e-01,
-2.7664992e-01,-2.20000e-01,
-2.7661330e-01,-8.00000e-02,
-2.7657667e-01,-2.00000e-01,
-2.7654004e-01,-8.00000e-02,
-2.7650341e-01,-2.60000e-01,
-2.7646682e-01,-8.00000e-02,
-2.7643019e-01,-2.60000e-01,
-2.7639356e-01,-2.60000e-01,
-2.7635694e-01,-1.00000e-01,
-2.7632031e-01,-2.20000e-01,
-2.7628371e-01,-2.20000e-01,
-2.7624708e-01,-2.20000e-01,
-2.7621046e-01,-1.60000e-01,
-2.7617383e-01,-1.60000e-01,
-2.7613720e-01,-4.00000e-02,
-2.7610061e-01,-1.00000e-01,
-2.7606398e-01,-1.20000e-01,
-2.7602735e-01,-3.40000e-01,
-2.7599072e-01,-2.00000e-01,
-2.7595410e-01,-4.00000e-02,
-2.7591750e-01,-3.40000e-01,
-2.7588087e-01,-1.00000e-01,
-2.7584425e-01,-2.80000e-01,
-2.7580762e-01,-2.60000e-01,
-2.7577099e-01,-2.20000e-01,
-2.7573439e-01,-2.80000e-01,
-2.7569777e-01,-4.00000e-02,
-2.7566114e-01,-1.80000e-01,
-2.7562451e-01,-1.20000e-01,
-2.7558789e-01,-1.00000e-01,
-2.7555129e-01,-1.20000e-01,
